date,airline,flight_number,origin,destination,origin_country,destination_country,aircraft_type,passengers_affected,reason,data_source
2026-02-27,Jazeera Airways,J92084,Singapore,Abu Dhabi,Singapore,UAE,Airbus A340-600,131,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-27,KLM,KL2519,Abu Dhabi,Istanbul,UAE,Turkey,Airbus A340-600,358,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-27,KLM,KL9785,Lahore,Abu Dhabi,Pakistan,UAE,Boeing 777-300ER,110,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-27,Lufthansa,LH7912,Karachi,Washington,Pakistan,USA,Airbus A340-600,99,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-27,Mahan Air,W53286,Sydney,Dubai,Australia,UAE,Airbus A321neo,366,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-27,Pakistan International Airlines,PK9928,Istanbul,London,Turkey,UK,Airbus A320neo,450,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-27,Pakistan International Airlines,PK6168,Dubai,Paris,UAE,France,Boeing 777-200LR,328,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-27,Saudi Arabian Airlines,SV4432,Washington,London,USA,UK,Airbus A320neo,407,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-27,Singapore Airlines,SI3615,Abu Dhabi,London,UAE,UK,Boeing 787-9 Dreamliner,104,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-27,Singapore Airlines,SI6881,Doha,London,Qatar,UK,Boeing 787-9 Dreamliner,345,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-27,Thai Airways,TH8170,Kuwait City,Mumbai,Kuwait,India,Boeing 787-9 Dreamliner,126,Fuel supply disruption,Original sample data
2026-02-27,Turkish Airlines,TK2291,Karachi,Tehran,Pakistan,Iran,Airbus A320neo,369,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-27,United Airlines,UN1711,Tehran,Paris,Iran,France,Boeing 737-800,402,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-27,United Airlines,UN3287,Doha,Cairo,Qatar,Egypt,Airbus A340-600,325,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-27,flydubai,FZ5554,Karachi,Abu Dhabi,Pakistan,UAE,Boeing 777-300ER,229,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Air Arabia,AI3705,Kuwait City,London,Kuwait,UK,Airbus A320neo,423,Security risk — conflict zone,Original sample data
2026-02-28,Air Arabia,G92489,Doha,Tehran,Qatar,Iran,Airbus A320neo,399,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,Air Arabia,G92040,Bahrain,Delhi,Bahrain,India,Airbus A340-600,178,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-28,Air Arabia,G99288,Dubai,Mumbai,UAE,India,Boeing 737-800,206,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Air Arabia,G92697,Riyadh,Doha,Saudi Arabia,Qatar,Airbus A330-300,321,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-28,Air Arabia,G93088,London,Kuwait City,UK,Kuwait,Boeing 737 MAX 8,80,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Air Arabia,G95930,Dubai,Washington,UAE,USA,Boeing 777-200LR,263,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Air Arabia,G98657,Delhi,Dubai,India,UAE,Boeing 737 MAX 8,222,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,Air Arabia,G91166,Abu Dhabi,Washington,UAE,USA,Airbus A340-600,257,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-28,Air Arabia,G98753,Tehran,Abu Dhabi,Iran,UAE,Boeing 737 MAX 8,312,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,Air Arabia,G96582,Riyadh,Abu Dhabi,Saudi Arabia,UAE,Airbus A340-600,385,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,Air Arabia,G99922,Riyadh,Kuwait City,Saudi Arabia,Kuwait,Boeing 787-9 Dreamliner,303,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Air Arabia,G98195,Los Angeles,Abu Dhabi,USA,UAE,Boeing 787-9 Dreamliner,153,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-28,Air Arabia,G91224,Muscat,Los Angeles,Oman,USA,Airbus A320neo,142,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Air Arabia,G91609,Riyadh,Muscat,Saudi Arabia,Oman,Airbus A320neo,297,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Air France,AF4593,Abu Dhabi,Paris,UAE,France,Boeing 787-9 Dreamliner,370,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,Air France,AF2290,London,Mumbai,UK,India,Airbus A380-800,450,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,Air France,AF9479,Cairo,Islamabad,Egypt,Pakistan,Boeing 787-9 Dreamliner,258,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Air France,AF3267,Doha,Cairo,Qatar,Egypt,Boeing 777-200LR,240,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Air France,AF7455,Cairo,Frankfurt,Egypt,Germany,Airbus A321neo,321,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Air France,AF2647,Los Angeles,Muscat,USA,Oman,Boeing 787-9 Dreamliner,337,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Air France,AF2330,London,Los Angeles,UK,USA,Airbus A320neo,318,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,Air France,AF8381,Beirut,Islamabad,Lebanon,Pakistan,Airbus A320neo,283,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,Air France,AF4241,Mumbai,Abu Dhabi,India,UAE,Airbus A330-300,326,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,Air France,AF6039,London,Dubai,UK,UAE,Boeing 777-300ER,198,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,Air France,AF6260,Bahrain,Singapore,Bahrain,Singapore,Airbus A340-600,319,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Air France,AF8110,Riyadh,Dubai,Saudi Arabia,UAE,Airbus A330-300,422,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,Air France,AF3001,Sydney,Singapore,Australia,Singapore,Boeing 777-200LR,285,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-28,Air France,AF8802,Dubai,Doha,UAE,Qatar,Airbus A380-800,277,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,Air France,AF6400,Kuwait City,London,Kuwait,UK,Boeing 737-800,270,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Air India,AI6740,London,Doha,UK,Qatar,Boeing 787-9 Dreamliner,221,Insurance restriction — war zone,Original sample data
2026-02-28,Air India,AI4585,Abu Dhabi,Washington,UAE,USA,Airbus A330-300,222,Fuel supply disruption,Original sample data
2026-02-28,Air India,AI1173,Karachi,Dubai,Pakistan,UAE,Boeing 737-800,184,Airspace closure — NOTAM,Original sample data
2026-02-28,Air India,AI6861,Delhi,Dubai,India,UAE,Boeing 787-9 Dreamliner,325,Airport closure — military activity,Original sample data
2026-02-28,Air India,AI9835,Beirut,Cairo,Lebanon,Egypt,Airbus A320neo,450,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,Air India,AI9486,London,Kuwait City,UK,Kuwait,Boeing 787-9 Dreamliner,259,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Air India,AI3979,Sydney,Abu Dhabi,Australia,UAE,Airbus A340-600,301,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Air India,AI8342,Doha,Moscow,Qatar,Russia,Airbus A330-300,248,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,Air India,AI2317,Delhi,Sydney,India,Australia,Boeing 787-9 Dreamliner,316,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,Air India,AI3076,Sydney,Frankfurt,Australia,Germany,Airbus A320neo,275,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,American Airlines,AM2827,Moscow,Doha,Russia,Qatar,Boeing 787-9 Dreamliner,212,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-28,American Airlines,AM3925,Mumbai,Kuwait City,India,Kuwait,Boeing 737-800,322,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,American Airlines,AM8460,Lahore,Delhi,Pakistan,India,Airbus A340-600,236,Government travel ban,Simulated — scaled from verified sample
2026-02-28,American Airlines,AM3153,Dubai,Delhi,UAE,India,Airbus A330-300,215,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,American Airlines,AM3531,London,Bahrain,UK,Bahrain,Boeing 787-10 Dreamliner,337,Government travel ban,Simulated — scaled from verified sample
2026-02-28,American Airlines,AM9254,Tehran,Abu Dhabi,Iran,UAE,Boeing 787-10 Dreamliner,139,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,British Airways,BR9313,Amman,Dubai,Jordan,UAE,Boeing 787-9 Dreamliner,309,Airspace closure — NOTAM,Original sample data
2026-02-28,British Airways,BA5061,Islamabad,Mumbai,Pakistan,India,Airbus A330-300,162,Government travel ban,Simulated — scaled from verified sample
2026-02-28,British Airways,BA2790,Lahore,Singapore,Pakistan,Singapore,Boeing 777-300ER,173,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,British Airways,BA3184,London,Frankfurt,UK,Germany,Airbus A330-300,326,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,British Airways,BA9540,Singapore,Abu Dhabi,Singapore,UAE,Airbus A321neo,305,Government travel ban,Simulated — scaled from verified sample
2026-02-28,British Airways,BA8564,Istanbul,Dubai,Turkey,UAE,Airbus A320neo,160,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,British Airways,BA8616,Amman,Abu Dhabi,Jordan,UAE,Airbus A320neo,450,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,British Airways,BA5438,Islamabad,Paris,Pakistan,France,Boeing 787-10 Dreamliner,381,Government travel ban,Simulated — scaled from verified sample
2026-02-28,British Airways,BA5494,Dubai,London,UAE,UK,Boeing 737-800,80,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,British Airways,BA6700,London,Muscat,UK,Oman,Boeing 787-10 Dreamliner,263,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-28,British Airways,BA8555,Paris,Dubai,France,UAE,Boeing 777-200LR,220,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,British Airways,BA4886,Doha,Dubai,Qatar,UAE,Boeing 737 MAX 8,215,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-28,British Airways,BA1803,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A321neo,172,Government travel ban,Simulated — scaled from verified sample
2026-02-28,British Airways,BA4626,Dubai,Riyadh,UAE,Saudi Arabia,Boeing 737 MAX 8,214,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-28,Cargolux,CA8910,Dubai,London,UAE,UK,Boeing 777-200LR,160,Fuel supply disruption,Original sample data
2026-02-28,Cargolux,CA3369,London,Doha,UK,Qatar,Airbus A380-800,96,Crew safety — company policy,Original sample data
2026-02-28,Cargolux,CA5462,New York,London,USA,UK,Airbus A330-300,362,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Cargolux,CA7267,Dubai,Muscat,UAE,Oman,Boeing 737 MAX 8,346,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-28,Cargolux,CA7275,Riyadh,Singapore,Saudi Arabia,Singapore,Airbus A340-600,213,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Cargolux,CA4954,Beijing,Amman,China,Jordan,Airbus A320neo,450,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,Cargolux,CA3444,Doha,Riyadh,Qatar,Saudi Arabia,Airbus A340-600,273,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Cargolux,CA3847,Tehran,London,Iran,UK,Boeing 737 MAX 8,156,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-28,Cargolux,CA3441,Mumbai,Lahore,India,Pakistan,Airbus A340-600,175,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Cargolux,CA8269,Kuwait City,London,Kuwait,UK,Boeing 777-200LR,450,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,Cargolux,CA9807,Karachi,Singapore,Pakistan,Singapore,Airbus A330-300,80,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Cargolux,CA7105,Frankfurt,Cairo,Germany,Egypt,Airbus A321neo,374,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Cathay Pacific,CA1538,Karachi,Dubai,Pakistan,UAE,Boeing 737 MAX 8,340,Government travel ban,Original sample data
2026-02-28,Cathay Pacific,CA5413,Los Angeles,Doha,USA,Qatar,Boeing 737-800,90,Security risk — conflict zone,Original sample data
2026-02-28,Cathay Pacific,CA8807,Moscow,Tehran,Russia,Iran,Airbus A321neo,159,Airspace closure — NOTAM,Original sample data
2026-02-28,Cathay Pacific,CA8668,Washington,Abu Dhabi,USA,UAE,Boeing 777-300ER,158,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,Cathay Pacific,CA7126,Frankfurt,Paris,Germany,France,Boeing 787-10 Dreamliner,411,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Cathay Pacific,CA8787,Dubai,Sydney,UAE,Australia,Airbus A330-300,313,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Cathay Pacific,CA8579,Paris,Doha,France,Qatar,Airbus A321neo,112,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-28,Cathay Pacific,CA8811,Mumbai,Doha,India,Qatar,Boeing 737-800,230,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-28,Cathay Pacific,CA4848,London,Paris,UK,France,Boeing 787-9 Dreamliner,118,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,Cathay Pacific,CA5246,Cairo,London,Egypt,UK,Boeing 777-200LR,324,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,Cathay Pacific,CA3506,Abu Dhabi,Doha,UAE,Qatar,Airbus A330-300,450,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-28,Cathay Pacific,CA5982,Bahrain,Delhi,Bahrain,India,Boeing 777-300ER,80,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Cathay Pacific,CA4289,Kuwait City,Doha,Kuwait,Qatar,Boeing 737 MAX 8,267,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,DHL Aviation,DH5634,Doha,Los Angeles,Qatar,USA,Airbus A340-600,234,Government travel ban,Original sample data
2026-02-28,DHL Aviation,ES1339,Cairo,Paris,Egypt,France,Boeing 777-300ER,226,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-28,DHL Aviation,ES1888,Amman,London,Jordan,UK,Boeing 777-200LR,253,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,DHL Aviation,ES4335,London,Mumbai,UK,India,Boeing 737 MAX 8,183,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,DHL Aviation,ES3529,Kuwait City,Abu Dhabi,Kuwait,UAE,Airbus A340-600,435,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,DHL Aviation,ES3854,Doha,Beijing,Qatar,China,Airbus A320neo,253,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Delta Air Lines,DE8835,Muscat,London,Oman,UK,Boeing 737-800,248,Airspace closure — NOTAM,Original sample data
2026-02-28,Delta Air Lines,DE4022,Beijing,Tehran,China,Iran,Boeing 787-10 Dreamliner,260,Diplomatic advisory — do not fly,Original sample data
2026-02-28,Delta Air Lines,DE2122,Beijing,Paris,China,France,Airbus A321neo,254,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Delta Air Lines,DE9666,London,Washington,UK,USA,Boeing 787-9 Dreamliner,182,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-28,Delta Air Lines,DE7790,Istanbul,Abu Dhabi,Turkey,UAE,Boeing 737 MAX 8,243,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,Delta Air Lines,DE2680,Sydney,Muscat,Australia,Oman,Boeing 777-200LR,450,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Delta Air Lines,DE5632,Riyadh,Doha,Saudi Arabia,Qatar,Boeing 737-800,129,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Delta Air Lines,DE7511,Dubai,Paris,UAE,France,Boeing 737-800,305,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,EgyptAir,EG5316,Cairo,Kuwait City,Egypt,Kuwait,Boeing 787-9 Dreamliner,209,Fuel supply disruption,Original sample data
2026-02-28,EgyptAir,MS7596,Kuwait City,Dubai,Kuwait,UAE,Airbus A380-800,132,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,EgyptAir,MS5033,Abu Dhabi,Riyadh,UAE,Saudi Arabia,Airbus A340-600,316,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,EgyptAir,MS4441,Karachi,Doha,Pakistan,Qatar,Boeing 737 MAX 8,340,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,EgyptAir,MS5892,Kuwait City,Abu Dhabi,Kuwait,UAE,Airbus A321neo,133,Government travel ban,Simulated — scaled from verified sample
2026-02-28,EgyptAir,MS2375,Lahore,Doha,Pakistan,Qatar,Boeing 787-9 Dreamliner,353,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,EgyptAir,MS2876,Beijing,Doha,China,Qatar,Airbus A320neo,253,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,EgyptAir,MS8690,Cairo,Kuwait City,Egypt,Kuwait,Boeing 737 MAX 8,376,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,EgyptAir,MS5136,Muscat,Doha,Oman,Qatar,Boeing 787-9 Dreamliner,293,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-28,EgyptAir,MS2213,Kuwait City,Islamabad,Kuwait,Pakistan,Airbus A380-800,244,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,EgyptAir,MS4697,Doha,Istanbul,Qatar,Turkey,Airbus A330-300,186,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,EgyptAir,MS9408,Abu Dhabi,Delhi,UAE,India,Boeing 737 MAX 8,306,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-28,Emirates,EM101,Dubai,Istanbul,UAE,Turkey,Boeing 787-9 Dreamliner,185,Security risk — conflict zone,Original sample data
2026-02-28,Emirates,EK3504,Mumbai,Dubai,India,UAE,Boeing 737 MAX 8,116,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Emirates,EK6310,Bahrain,Doha,Bahrain,Qatar,Airbus A380-800,260,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,Emirates,EK2133,New York,London,USA,UK,Airbus A321neo,450,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,Emirates,EK6539,Riyadh,Paris,Saudi Arabia,France,Airbus A340-600,302,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Emirates,EK4644,Kuwait City,Delhi,Kuwait,India,Boeing 737-800,361,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-28,Emirates,EK7211,Dubai,Cairo,UAE,Egypt,Boeing 787-9 Dreamliner,250,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-28,Emirates,EK8784,Dubai,Beijing,UAE,China,Boeing 737-800,81,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Emirates,EK1659,New York,Dubai,USA,UAE,Boeing 737 MAX 8,286,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Emirates,EK7149,Dubai,Islamabad,UAE,Pakistan,Airbus A321neo,200,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Emirates,EK4937,Abu Dhabi,London,UAE,UK,Boeing 777-200LR,374,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Emirates,EK9889,Riyadh,Dubai,Saudi Arabia,UAE,Boeing 737 MAX 8,187,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Emirates,EK8483,Riyadh,Mumbai,Saudi Arabia,India,Airbus A350-900,263,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,Emirates,EK9824,Muscat,Los Angeles,Oman,USA,Boeing 787-9 Dreamliner,413,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,Emirates,EK5000,Islamabad,Istanbul,Pakistan,Turkey,Boeing 737-800,450,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Emirates SkyCargo,EM582,Istanbul,Delhi,Turkey,India,Airbus A380-800,340,Insurance restriction — war zone,Original sample data
2026-02-28,Emirates SkyCargo,EK9423,Abu Dhabi,Frankfurt,UAE,Germany,Boeing 787-10 Dreamliner,194,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-28,Emirates SkyCargo,EK7912,Abu Dhabi,Moscow,UAE,Russia,Boeing 777-200LR,107,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Emirates SkyCargo,EK8260,Karachi,Beijing,Pakistan,China,Boeing 777-300ER,258,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Emirates SkyCargo,EK1832,Tehran,Islamabad,Iran,Pakistan,Boeing 737 MAX 8,219,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-28,Emirates SkyCargo,EK3417,Doha,London,Qatar,UK,Airbus A320neo,401,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,Emirates SkyCargo,EK5569,Dubai,Doha,UAE,Qatar,Boeing 787-9 Dreamliner,280,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-28,Emirates SkyCargo,EK5581,Abu Dhabi,Singapore,UAE,Singapore,Airbus A320neo,280,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Emirates SkyCargo,EK5526,Dubai,Sydney,UAE,Australia,Boeing 787-9 Dreamliner,175,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-28,Emirates SkyCargo,EK1046,Karachi,Abu Dhabi,Pakistan,UAE,Airbus A340-600,214,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Ethiopian Airlines,ET8744,Kuwait City,Moscow,Kuwait,Russia,Airbus A380-800,80,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Ethiopian Airlines,ET6617,Doha,Dubai,Qatar,UAE,Boeing 787-9 Dreamliner,178,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-28,Ethiopian Airlines,ET2232,Moscow,Paris,Russia,France,Boeing 777-200LR,288,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Ethiopian Airlines,ET3780,Delhi,Lahore,India,Pakistan,Airbus A330-300,282,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,Ethiopian Airlines,ET1400,Dubai,Kuwait City,UAE,Kuwait,Airbus A350-900,303,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-28,Ethiopian Airlines,ET8251,Abu Dhabi,Bahrain,UAE,Bahrain,Airbus A340-600,362,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,Ethiopian Airlines,ET8905,Frankfurt,Islamabad,Germany,Pakistan,Boeing 787-9 Dreamliner,450,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Ethiopian Airlines,ET5712,London,Tehran,UK,Iran,Airbus A320neo,166,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-28,Ethiopian Airlines,ET5847,Washington,Abu Dhabi,USA,UAE,Boeing 777-300ER,203,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Ethiopian Airlines,ET2911,Los Angeles,London,USA,UK,Boeing 777-200LR,210,Airport closure — military activity,Simulated — scaled from verified sample
2026-02-28,Ethiopian Airlines,ET1536,Istanbul,Paris,Turkey,France,Boeing 737-800,236,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-28,Ethiopian Airlines,ET2801,Abu Dhabi,Doha,UAE,Qatar,Boeing 777-300ER,293,Government travel ban,Simulated — scaled from verified sample
2026-02-28,Ethiopian Airlines,ET7132,Doha,Kuwait City,Qatar,Kuwait,Boeing 777-300ER,210,Fuel supply disruption,Simulated — scaled from verified sample
